"Record ID","Company name","Company owner","Create Date","Type","Lifecycle Stage","Lead Status","Associated Deal","Associated Deal IDs"
"33794287450","Tunable","Gjermund Moastuen","2025-05-22 12:10","Prospect","Lead","","",""
"33742632512","Plaace AS","Carl Petterson","2025-05-22 06:38","Prospect","Lead","Nurturing","",""
"33702358552","Cavotec","Gjermund Moastuen","2025-05-20 15:36","Prospect","Lead","Attempted to Contact","",""
"33702339934","Factlines","Gjermund Moastuen","2025-05-20 10:45","Prospect","Lead","Attempted to Contact","",""
"33702338904","Norwegian Lab","Gjermund Moastuen","2025-05-20 10:12","Prospect","Lead","Attempted to Contact","",""
"33684649779","Domeneshop","Gjermund Moastuen","2025-05-20 08:43","Prospect","Lead","Attempted to Contact","",""
"33702333783","Mobai","Gjermund Moastuen","2025-05-20 08:21","Prospect","Lead","Attempted to Contact","",""
"33684648013","Standard Norge","Gjermund Moastuen","2025-05-20 08:02","Prospect","Lead","Attempted to Contact","",""
"33702344212","Maritime Robotics AS","Gjermund Moastuen","2025-05-20 07:19","Prospect","Lead","Attempted to Contact","",""
"33686413206","geheatlhcare.com","Gjermund Moastuen","2025-05-20 06:49","Prospect","Lead","Attempted to Contact","",""
"33684646252","GE HEALTHCARE AS","Gjermund Moastuen","2025-05-20 06:45","Prospect","Lead","Attempted to Contact","",""
"33651181092","EntyTech AS","Gjermund Moastuen","2025-05-19 15:25","Prospect","Lead","Attempted to Contact","",""
"33649216421","Jakob Hatteland Computer AS","Gjermund Moastuen","2025-05-19 14:36","Prospect","Lead","Attempted to Contact","",""
"33649215874","Onitio","Gjermund Moastuen","2025-05-19 14:33","Prospect","Lead","Attempted to Contact","",""
"33604504167","Argeo","Gjermund Moastuen","2025-05-19 09:18","Prospect","Lead","Connected","",""
"33609080099","Viken Fiber","Gjermund Moastuen","2025-05-19 08:46","Prospect","Lead","Connected","",""
"33604502564","Sykehusinnkjøp HF","Gjermund Moastuen","2025-05-19 08:43","Prospect","Lead","Connected","",""
"33604500090","Helsetjenestens driftsorganisasjon","Gjermund Moastuen","2025-05-19 07:31","Prospect","Lead","Attempted to Contact","",""
"33604499892","Kartverket","Gjermund Moastuen","2025-05-19 07:24","Prospect","Lead","Attempted to Contact","",""
"33604421017","StudioX","Carl Petterson","2025-05-18 10:33","Prospect","Lead","Nurturing","",""
"33547966604","Måsøval AS","Carl Petterson","2025-05-16 12:00","Prospect","Lead","Connected","",""
"33557999114","Safey","Gjermund Moastuen","2025-05-16 08:47","Prospect","Lead","Attempted to Contact","",""
"33410946207","Monli","Gjermund Moastuen","2025-05-14 09:44","Prospect","Lead","Attempted to Contact","",""
"33410945340","Utel","Gjermund Moastuen","2025-05-14 09:18","Prospect","Lead","","",""
"33410940213","Questigate","Gjermund Moastuen","2025-05-14 06:26","Prospect","Opportunity","Connected","Questigate - Ny Deal","37408733775"
"34380807829","Unstad AS","Carl Petterson","2025-05-13 12:42","Prospect","Lead","Attempted to Contact","",""
"33099432874","Promineo","Carl Petterson","2025-05-07 14:50","Prospect","Disqualified ","Connected","",""
"33049354386","WingTech","Gjermund Moastuen","2025-05-07 11:14","Prospect","Lead","Attempted to Contact","",""
"33097919588","LipScore","Gjermund Moastuen","2025-05-07 10:47","Prospect","Lead","Connected","",""
"32947415372","Salesup","Gjermund Moastuen","2025-05-05 12:20","Prospect","Lead","","",""
"32947412898","Staffer","Gjermund Moastuen","2025-05-05 11:44","Prospect","Lead","","",""
"32947422107","Healthsum","Gjermund Moastuen","2025-05-05 09:10","Prospect","Opportunity","Connected","Healthsum - Ny Deal","38450240891"
"32934402739","Power IT","Carl Petterson","2025-05-05 07:42","Prospect","Lead","New","",""
"32822825286","Quinyx","Carl Petterson","2025-04-30 13:39","Prospect","Lead","New","",""
"32787416085","NorwAI","Gjermund Moastuen","2025-04-30 10:28","Prospect","Lead","Attempted to Contact","",""
"34660176734","Nxtech","Gjermund Moastuen","2025-04-30 09:45","Prospect","Opportunity","Connected","Nxtech AS - Ny avtale","36943833191"
"32636972359","Sjøfartsdirektoratet","Gjermund Moastuen","2025-04-28 11:41","Prospect","Lead","","",""
"32670648397","Braathens IT","Carl Petterson","2025-04-28 11:25","Prospect","Lead","Nurturing","",""
"32636970880","Minus1","Carl Petterson","2025-04-28 11:13","Prospect","Disqualified ","Connected","",""
"32446399040","eXOREAction","Gjermund Moastuen","2025-04-24 13:49","Prospect","Opportunity","Connected","eXOREAction - Ny Deal","36173050208"
"32441791625","Burson","Gjermund Moastuen","2025-04-24 09:43","Prospect","Lead","","",""
"32414528653","Aidn","Carl Petterson","2025-04-23 14:49","Prospect","Lead","Connected","",""
"32411984385","Høglund AS","Gjermund Moastuen","2025-04-23 10:31","Prospect","Lead","New","",""
"32411983739","Lønnebakken skole","Gjermund Moastuen","2025-04-23 10:20","Prospect","Lead","Restart","",""
"32411982445","Havnekraft","Carl Petterson","2025-04-23 09:54","Prospect","Lead","New","",""
"32412196740","Diller AS","Gjermund Moastuen","2025-04-23 09:41","Prospect","Lead","Restart","",""
"32410235727","Sperre Air Power","Gjermund Moastuen","2025-04-23 05:00","Prospect","Lead","Restart","",""
"32410234007","Man and Machine","Gjermund Moastuen","2025-04-23 03:48","Prospect","Lead","Attempted to Contact","",""
"32410233514","NorDan Norge","Gjermund Moastuen","2025-04-23 03:26","Prospect","Lead","Restart","",""
"32359305767","Smart Innovation Norway","Gjermund Moastuen","2025-04-23 02:49","Prospect","Lead","Restart","",""
"32359305301","Norgesnett","Gjermund Moastuen","2025-04-23 02:32","Prospect","Lead","Attempted to Contact","",""
"32410231985","airMont","Gjermund Moastuen","2025-04-23 02:23","Prospect","Sales Qualified Lead","Connected","",""
"32338394744","Trondheim Parkering AS","Carl Petterson","2025-04-22 11:05","Prospect","Lead","New","",""
"32305266033","Artsdatabanken","Gjermund Moastuen","2025-04-22 08:12","Prospect","Lead","","",""
"32305265734","Agilera","Gjermund Moastuen","2025-04-22 07:59","Prospect","Lead","Attempted to Contact","",""
"32323950673","Xlent AS","Gjermund Moastuen","2025-04-22 05:00","Prospect","Lead","Attempted to Contact","",""
"32305261348","TimeXtender","Carl Petterson","2025-04-22 04:56","Prospect","Lead","Restart","",""
